plot,Date,Time,month,day,hour,min,treatment,temp
1,2022-06-17,01:06:42,6,17,1,6,warming,21.5
1,2022-06-17,02:06:42,6,17,2,6,warming,21.5
1,2022-06-17,03:06:42,6,17,3,6,warming,21.5
1,2022-06-17,04:06:42,6,17,4,6,warming,21
1,2022-06-17,05:06:42,6,17,5,6,warming,21
1,2022-06-17,06:06:42,6,17,6,6,warming,21
1,2022-06-17,07:06:42,6,17,7,6,warming,22
1,2022-06-17,08:06:42,6,17,8,6,warming,21.5
1,2022-06-17,09:06:42,6,17,9,6,warming,21.5
1,2022-06-17,10:06:42,6,17,10,6,warming,21.5
1,2022-06-17,11:06:42,6,17,11,6,warming,21.5
1,2022-06-17,12:06:42,6,17,12,6,warming,21.5
1,2022-06-17,13:06:42,6,17,13,6,warming,21.5
1,2022-06-17,14:06:42,6,17,14,6,warming,21.5
1,2022-06-17,15:06:42,6,17,15,6,warming,21.5
1,2022-06-17,16:06:42,6,17,16,6,warming,21.5
1,2022-06-17,17:06:42,6,17,17,6,warming,22
1,2022-06-17,18:06:42,6,17,18,6,warming,22
1,2022-06-17,19:06:42,6,17,19,6,warming,22
1,2022-06-17,20:06:42,6,17,20,6,warming,22.5
1,2022-06-17,21:06:42,6,17,21,6,warming,22.5
1,2022-06-17,22:06:42,6,17,22,6,warming,22.5
1,2022-06-17,23:06:42,6,17,23,6,warming,22.5
1,2022-06-18,00:06:42,6,18,0,6,warming,22.5
1,2022-06-18,01:06:42,6,18,1,6,warming,22.5
1,2022-06-18,02:06:42,6,18,2,6,warming,22
1,2022-06-18,03:06:42,6,18,3,6,warming,22
1,2022-06-18,04:06:42,6,18,4,6,warming,22
1,2022-06-18,05:06:42,6,18,5,6,warming,22
1,2022-06-18,06:06:42,6,18,6,6,warming,22
1,2022-06-18,07:06:42,6,18,7,6,warming,22
1,2022-06-18,08:06:42,6,18,8,6,warming,22
1,2022-06-18,09:06:42,6,18,9,6,warming,22
1,2022-06-18,10:06:42,6,18,10,6,warming,22
1,2022-06-18,11:06:42,6,18,11,6,warming,22
1,2022-06-18,12:06:42,6,18,12,6,warming,22
1,2022-06-18,13:06:42,6,18,13,6,warming,22.5
1,2022-06-18,14:06:42,6,18,14,6,warming,22.5
1,2022-06-18,15:06:42,6,18,15,6,warming,19.5
1,2022-06-18,16:06:42,6,18,16,6,warming,18
1,2022-06-18,17:06:42,6,18,17,6,warming,17.5
1,2022-06-18,18:06:42,6,18,18,6,warming,20.5
1,2022-06-18,19:06:42,6,18,19,6,warming,20.5
1,2022-06-18,20:06:42,6,18,20,6,warming,21
1,2022-06-18,21:06:42,6,18,21,6,warming,21
1,2022-06-18,22:06:42,6,18,22,6,warming,21
1,2022-06-18,23:06:42,6,18,23,6,warming,21
1,2022-06-19,00:06:42,6,19,0,6,warming,21
1,2022-06-19,01:06:42,6,19,1,6,warming,21
1,2022-06-19,02:06:42,6,19,2,6,warming,21
1,2022-06-19,03:06:42,6,19,3,6,warming,21
1,2022-06-19,04:06:42,6,19,4,6,warming,21
1,2022-06-19,05:06:42,6,19,5,6,warming,21
1,2022-06-19,06:06:42,6,19,6,6,warming,20.5
1,2022-06-19,07:06:42,6,19,7,6,warming,20.5
1,2022-06-19,08:06:42,6,19,8,6,warming,20.5
1,2022-06-19,09:06:42,6,19,9,6,warming,20.5
1,2022-06-19,10:06:42,6,19,10,6,warming,20.5
1,2022-06-19,11:06:42,6,19,11,6,warming,20
1,2022-06-19,12:06:42,6,19,12,6,warming,20.5
1,2022-06-19,13:06:42,6,19,13,6,warming,20.5
1,2022-06-19,14:06:42,6,19,14,6,warming,20.5
1,2022-06-19,15:06:42,6,19,15,6,warming,20.5
1,2022-06-19,16:06:42,6,19,16,6,warming,11.5
1,2022-06-19,17:06:42,6,19,17,6,warming,8.5
1,2022-06-19,18:06:42,6,19,18,6,warming,8.5
1,2022-06-19,19:06:42,6,19,19,6,warming,9.5
1,2022-06-19,20:06:42,6,19,20,6,warming,9.5
1,2022-06-19,21:06:42,6,19,21,6,warming,8.5
1,2022-06-19,22:06:42,6,19,22,6,warming,7.5
1,2022-06-19,23:06:42,6,19,23,6,warming,7
1,2022-06-20,00:06:42,6,20,0,6,warming,6.5
1,2022-06-20,01:06:42,6,20,1,6,warming,6
1,2022-06-20,02:06:42,6,20,2,6,warming,5.5
1,2022-06-20,03:06:42,6,20,3,6,warming,5
